,AP,AT,NOX,CO
628,0.47623532044424627,-1.8021200742497958,1.4160720673429057,-0.73189699819446
26536,-0.8572720223375244,0.8208173491090368,-1.6827477279754852,0.8160229817890884
19688,-0.3709340502641692,1.8473943537339566,-0.743416911842052,1.255909056485108
30881,-1.5318698545683134,-0.3456427904291586,-0.017306859109391663,3.059523668998311
22838,0.8998200057984451,-0.5969720241165153,-0.5718854540402307,0.04813734152857644
7114,-1.7515063580853072,-0.2058950699736887,0.2995830159648477,0.6536828574033621
10772,0.052650635090029596,1.3302465393740346,0.08840835345236657,-0.41130716904027564
10785,-0.07285593834824758,0.3881681564198641,-0.07076124481602246,-0.24687332175432433
30808,1.0723915442760896,-1.201746534122498,0.3127974175350676,0.4190837597537782
34244,0.6801835022814511,1.6414289634115051,-0.8279890818914588,-0.07253259050145545
541,-0.0414792949886872,-1.4528861875689267,1.3334607439781112,-0.48657906062396883
18111,-0.4964406237024642,0.264534756443271,-0.5868901938877062,0.16599862088757497
6214,1.260651404433523,-0.5059735084710931,0.7963592608014345,-0.16041788589869854
3928,-0.5435055887418138,1.5791383128208887,-0.07510920920364335,-0.8319105664893467
6897,-0.29249244186524154,-1.0910587563121286,0.830972467495043,-0.4618629171188755
6814,1.1508331526750173,-0.7214179108399424,0.7262803053774297,-0.35349999042918967
35109,0.2409104952474632,0.18545271308474934,-1.4321856233633814,-0.20127101565918323
9333,-1.3592983160906689,0.7487768575564109,0.29429725533676,-0.3974681713339113
3695,-0.40231069362374744,1.5664093537871544,-0.5849293472030928,-0.5304451087042894
20096,-0.4807523020226751,0.7876408069466432,-1.2117182526499068,1.14060109773614
22308,1.6057944813887943,-1.1093938738990188,0.2978779318912713,0.15164895905920459
2643,-0.46506398034288604,0.10745398538867304,0.2956613225956206,-0.6404932269965952
6710,1.7469893765068785,-1.5050478367156777,2.2035651467243285,0.9447614069468163
30602,1.6999244114675112,-0.9990175493416025,0.6784526971136023,2.3156392424720837
8409,0.8213783973995173,-1.329022583014064,1.5402874421029715,-0.45129216979335013
19087,-1.5475581762480846,1.2261128213214605,0.1757086580194964,-0.5605232254904463
12560,-0.22973915514610296,-0.021054335068924967,-0.024979737440487343,1.7849570868833864
31829,-0.08854426002803668,1.1867072141000052,-0.741200302546402,-0.8066429057324869
33830,-0.41799901530353656,1.8928936115566675,-0.9968776593792362,-0.42213324842680405
25958,-0.0414792949886872,0.991710394859815,-1.4189712217931614,-0.2973780034207236
36330,3.064808397608842,-1.9742453915666054,2.0971679005331385,5.749549064489631
14188,1.1822097960345954,-0.8694259132215593,1.828190887926407,2.9655614705491953
11608,-0.6219471971407414,1.6259917152216568,-0.36744587361837777,-0.9355294234855962
24747,0.0840272784496078,0.604695874451159,-0.2746040458121237,-0.30279104311398786
15702,0.33504042532618,-1.8060200106345996,3.9265526030736377,1.9321304868455327
